FNETID,pres,Year,datatype,BCAlbX,BCAlbY,BEC,Elevation,Aspect,Slope,CTI,Rugg9,Tave_sm,MSP,PAS
1036646,0,1997,NA,1006376.612,546741.027,AT,1569,-0.687007725,23.5112896,10.11875153,0.064946018,10.3,605,1598
1036684,0,2009,NA,1010176.612,546741.027,MH,1345,0.337501913,41.19895935,10.03655624,0.053111136,11.7,340,971
1038541,0,2007,NA,987876.612,546641.027,MH,1049,-0.958043754,30.47530556,9.579301834,0.047695868,12.4,432,1333
1046672,0,1999,NA,968976.612,546241.027,MH,1246,0.038880408,47.78118134,9.113101959,0.160364598,10.9,693,1961
1053413,0,2008,NA,1019076.612,545941.027,MH,1193,-0.068069182,30.33641052,9.74612999,0.023385225,11,400,857
1055123,0,2009,NA,982076.612,545841.027,MH,871,-0.997712016,16.47174644,10.42882442,0.070722513,13.4,461,734
1063377,0,1998,NA,975476.612,545441.027,MH,1207,-0.87117815,10.80560207,10.86654472,0.059924185,12.4,427,910
1065760,0,1990,NA,1005776.612,545341.027,MH,1320,0.835648179,30.9250927,9.623858452,0.052666746,11.9,296,829
1065806,0,1991,NA,1010376.612,545341.027,AT,1615,0.478502005,13.28073311,10.77091503,0.067438476,9.5,430,1440
1071720,0,2004,NA,977776.612,545041.027,MH,1219,-0.932509363,27.93308258,10.04916286,0.116771087,12.5,906,1040
1071848,0,1993,NA,990576.612,545041.027,MH,874,0.653871298,27.4421463,10.8566494,0.065137982,13,462,549
1077828,0,1994,NA,964576.612,544741.027,MH,749,-0.972474337,8.042016029,11.08697987,0.00931841,13.7,847,879
1077962,0,2009,NA,977976.612,544741.027,MH,1068,0.695493639,30.33606911,11.48789501,0.105128348,12.5,584,1082
1079971,0,1995,NA,970876.612,544641.027,MH,978,-0.993104398,33.74749374,10.50935173,0.079404101,12.4,583,1114
1084081,0,2000,NA,965876.612,544441.027,MH,1154,-0.523136139,32.52150345,11.45214462,0.0093429,12,1108,1249
1086653,0,2001,NA,1015076.612,544341.027,MH,1034,-0.93287164,57.17873764,8.895590782,0.024784982,12.2,456,342
1090347,0,2002,NA,968476.612,544141.027,MH,1157,-0.14785473,17.0051403,11.48759842,0.088183932,12,693,1501
1090619,0,1997,NA,995676.612,544141.027,MH,1014,0.727582097,27.47294044,10.68781281,0.014049483,12.9,681,1198
1090727,0,1996,NA,1006476.612,544141.027,MH,1321,0.731873333,17.47615051,9.381120682,0.076811142,11.2,328,978
1092769,0,2009,NA,1002676.612,544041.027,MH,1309,0.828849912,40.76913834,9.358561516,0.055379607,11.8,342,861
1092856,0,1995,NA,1011376.612,544041.027,MH,984,-0.220927805,13.40651321,11.59917068,0.055775207,12.8,360,840
1098646,0,1997,NA,966376.612,543741.027,AT,1304,0.985537469,34.76007843,10.73586464,0.090935037,11.6,1522,2472
1099036,0,1998,NA,1005376.612,543741.027,MH,907,-0.301209748,13.42923641,14.07656765,0.084219001,14.2,250,494
1103098,0,2012,NA,995576.612,543541.027,MH,998,-0.144003108,20.56211281,11.44591904,0.034588471,12.4,324,1001
1109542,0,1996,NA,1015976.612,543241.027,MH,1119,-0.285593033,21.10684586,12.99844265,0.037079047,12.2,297,756
1111101,0,1997,NA,963876.612,543141.027,MH,915,0.96437031,15.23381996,10.51108646,0.034948088,13.2,1465,1738
1111601,0,1998,NA,1013876.612,543141.027,AT,1404,-0.945058942,29.88871956,10.11303234,0.092254169,12,254,793
1111647,0,1998,NA,1018476.612,543141.027,MH,1019,-0.419760346,28.45316315,9.70947361,0.016127693,13.8,243,467
1117406,0,2003,NA,970376.612,542841.027,MH,1060,-0.907213986,30.37704277,11.13079739,0.029005356,12.3,712,855
1117784,0,1998,NA,1008176.612,542841.027,MH,1115,-0.349685788,15.22279739,11.66328812,0.032563008,13.2,252,625
